x,y,z
-40.991150,42.726413,1.841079
-41.249450,42.880615,1.840496
-41.508417,43.033474,1.839894
-41.768060,43.184985,1.839296
-42.028376,43.335120,1.838728
-42.289415,43.483873,1.838203
-42.551213,43.631244,1.837724
-42.813760,43.777271,1.837279
-43.077033,43.922094,1.836878
-43.340990,44.065901,1.836550
-43.605533,44.208917,1.836295
-43.870545,44.351369,1.836106
-44.135917,44.493471,1.835980
-44.401548,44.635391,1.835914
-44.667364,44.777253,1.835899
-44.933316,44.919125,1.835925
-45.199371,45.061021,1.835984
-45.465502,45.202946,1.836030
-45.731633,45.344936,1.835833
-45.997463,45.487228,1.835118
-46.262490,45.630251,1.833532
-46.526292,45.774465,1.830992
-46.788603,45.920319,1.827662
-47.049391,46.068156,1.823784
-47.308858,46.218153,1.819632
-47.567181,46.370414,1.815449
-47.824489,46.524996,1.811269
-48.080945,46.681887,1.806933
-48.336642,46.841043,1.802273
-48.591342,47.002444,1.797206
-48.844583,47.166123,1.791867
-49.096040,47.332132,1.786484
-49.345598,47.500480,1.781258
-49.593393,47.671074,1.776353
-49.839717,47.843760,1.771885
-50.084813,48.018387,1.767917
-50.328876,48.194829,1.764483
-50.572097,48.372999,1.761557
-50.814451,48.552784,1.758955
-51.055589,48.734117,1.756436
-51.295250,48.917012,1.753792
-51.533583,49.101434,1.750871
-51.770825,49.287294,1.747668
-52.007086,49.474514,1.744320
-52.242491,49.663015,1.740977
-52.477178,49.852711,1.737764
-52.711200,50.043521,1.734686
-52.944572,50.235382,1.731628
-53.177319,50.428248,1.728465
-53.409455,50.622066,1.725110
-53.640924,50.816788,1.721582
-53.871390,51.012417,1.718011
-54.100319,51.209022,1.714545
-54.327525,51.406673,1.711289
-54.553271,51.605340,1.708323
-54.777867,51.805005,1.705691
-55.001530,52.005664,1.703414
-55.224470,52.207257,1.701500
-55.446840,52.409743,1.699909
-55.668703,52.613102,1.698507
-55.890128,52.817328,1.697127
-56.111177,53.022388,1.695637
-56.331863,53.228232,1.693953
-56.552180,53.434803,1.692094
-56.772129,53.642027,1.690151
-56.991726,53.849843,1.688218
-57.210959,54.058203,1.686370
-57.429797,54.267040,1.684622
-57.648221,54.476287,1.682904
-57.866213,54.685894,1.681128
-58.083775,54.895808,1.679230
-58.300935,55.105956,1.677205
-58.517748,55.316289,1.675127
-58.734278,55.526791,1.673083
-58.950562,55.737452,1.671150
-59.166615,55.948253,1.669375
-59.382518,56.159013,1.667789
