x,y,z
0.000000,0.000000,1.599516
-0.085055,0.243989,1.608068
-0.193317,0.473956,1.609379
-0.323036,0.714840,1.607962
-0.450288,0.933345,1.605737
-0.594415,1.172207,1.603313
-0.732834,1.396081,1.601375
-0.882001,1.632358,1.599765
-1.018188,1.843736,1.598679
-1.161979,2.062512,1.597862
-1.313241,2.288138,1.597293
-1.471904,2.520190,1.596966
-1.638002,2.758443,1.596847
-1.811604,3.002768,1.596904
-1.962079,3.210945,1.597065
-2.117925,3.423250,1.597297
-2.279254,3.639646,1.597594
-2.446238,3.860086,1.597932
-2.619085,4.084454,1.598266
-2.797864,4.312418,1.598454
-2.982164,4.543308,1.598419
-3.171210,4.776320,1.598218
-3.364303,5.010766,1.597903
-3.560844,5.246044,1.597519
-3.760245,5.481600,1.597125
-3.962020,5.716976,1.596759
-4.165798,5.951806,1.596443
-4.371271,6.185782,1.596187
-4.578197,6.418644,1.595996
-4.786408,6.650189,1.595868
-4.995767,6.880268,1.595796
-5.206100,7.108882,1.595766
-5.417125,7.336304,1.595771
-5.628561,7.562869,1.595814
-5.840210,7.788806,1.595891
-6.051919,8.014314,1.595994
-6.263554,8.239570,1.596110
-6.475024,8.464679,1.596233
-6.686267,8.689701,1.596356
-6.897229,8.914677,1.596477
-7.107858,9.139609,1.596598
-7.318139,9.364498,1.596721
-7.528074,9.589356,1.596841
-7.737639,9.814152,1.596955
-7.946810,10.038841,1.597063
-8.155621,10.263438,1.597161
-8.364101,10.487958,1.597245
-8.572243,10.712375,1.597312
-8.780031,10.936644,1.597365
-8.987458,11.160738,1.597402
-9.194513,11.384633,1.597430
-9.401193,11.608312,1.597456
-9.607517,11.831778,1.597482
-9.813499,12.055023,1.597510
-10.019146,12.278034,1.597539
-10.224464,12.500810,1.597570
-10.429487,12.723378,1.597601
-10.634254,12.945763,1.597630
-10.838785,13.167977,1.597657
-11.043102,13.390038,1.597685
-11.247234,13.611974,1.597716
-11.451199,13.833808,1.597751
-11.655003,14.055553,1.597791
-11.858656,14.277235,1.597836
-12.062190,14.498896,1.597881
-12.265631,14.720549,1.597925
-12.468982,14.942213,1.597967
-12.672254,15.163918,1.598004
-12.875440,15.385676,1.598036
-13.078549,15.607506,1.598064
-13.281602,15.829440,1.598088
-13.484612,16.051472,1.598106
-13.687647,16.273419,1.598118
-13.890892,16.494879,1.598128
-14.094518,16.715565,1.598145
-14.298534,16.935582,1.598167
-14.502899,17.155167,1.598195
-14.707600,17.374455,1.598226
-14.912593,17.593588,1.598264
-15.117828,17.812725,1.598302
-15.323332,18.031778,1.598337
-15.529246,18.250379,1.598370
-15.735711,18.468201,1.598405
-15.942813,18.685017,1.598440
-16.150564,18.900768,1.598471
-16.358863,19.115700,1.598497
-16.567583,19.330119,1.598519
-16.776633,19.544228,1.598539
-16.985926,19.758222,1.598559
-17.195376,19.972289,1.598579
-17.404927,20.186537,1.598596
-17.614585,20.400904,1.598606
-17.824457,20.615070,1.598611
-18.034639,20.828778,1.598620
-18.245090,21.042134,1.598636
-18.455740,21.255317,1.598656
-18.666555,21.468404,1.598682
-18.877484,21.681512,1.598711
-19.088469,21.894769,1.598740
-19.299471,22.108235,1.598770
-19.510475,22.321916,1.598794
-19.721535,22.535624,1.598810
-19.932761,22.749036,1.598824
-20.144160,22.962127,1.598841
-20.355670,23.175076,1.598858
-20.567258,23.387957,1.598877
-20.778893,23.600842,1.598897
-20.990513,23.813868,1.598917
-21.202070,24.027122,1.598932
-21.413571,24.240523,1.598935
-21.625093,24.453756,1.598931
-21.836694,24.666588,1.598930
-22.048358,24.879135,1.598935
-22.260040,25.091565,1.598947
-22.471740,25.303961,1.598967
-22.683448,25.516426,1.598993
-22.895127,25.729078,1.599021
-23.106752,25.941969,1.599045
-23.318327,26.154988,1.599059
-23.529891,26.367864,1.599068
-23.741467,26.580480,1.599082
-23.953014,26.792998,1.599101
