method,n,success_percent,safe_percent,collision_percent,path_m,time_s,average_speed_mps,max_speed_mps,spl_percent,planning_mean_ms,planning_definition
YOPO,1,100,N/A,N/A,158.583,42.264,3.752,5.913,88.282,2.577,local-policy inference
ScaleNav,1,100,N/A,N/A,158.210,38.434,4.116,5.681,88.490,21.517,rolling graph-planner update cycle
